,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS,y
T06-02,0.158557527,0.152833429,0.14653692,0.120778477,0.083571837,0.082427018,0.044647968,0.023468804,0.026330853,0.010875787,0.017172295,0.009158558,0.03720664,0.024613623,0.00171723,0.003434459,0.002862049,0.006296508,0.004006869,0.003434459,0.00171723,0.005724098,0.00171723,0.004006869,0.00057241,0.005724098,0.006296508,0.004579279,0.002862049,0.00114482,0,0,0.00114482,0.00057241,0.00057241,0.00057241,0,0.00114482,0,0.00171723,1917
T06-04,0.143231114,0.192221391,0.13500374,0.109947644,0.090501122,0.068062827,0.040014959,0.033657442,0.024682124,0.014958863,0.017576664,0.037023186,0.024308153,0.017576664,0.004487659,0.001869858,0.003365744,0.004113687,0.005235602,0.002243829,0.002991773,0.006357517,0.002617801,0.002617801,0,0.000373972,0.002991773,0,0,0.001495886,0,0.002991773,0.001121915,0.000747943,0.000373972,0,0.000747943,0.001495886,0,0.002991773,1917
T06-05,0.181236674,0.141791045,0.126865672,0.164179104,0.10021322,0.082089552,0.045842217,0.013859275,0.010660981,0.008528785,0.015991471,0.007462687,0.023454158,0.011727079,0.011727079,0.007462687,0.001066098,0.003198294,0.006396588,0.001066098,0.002132196,0,0.002132196,0.00533049,0.00533049,0.003198294,0.001066098,0,0,0.002132196,0,0.003198294,0,0.001066098,0,0.002132196,0.002132196,0.001066098,0,0.004264392,1917
T06-08,0.21192053,0.149006623,0.125827815,0.119205298,0.059602649,0.092715232,0.046357616,0.016556291,0.039735099,0.013245033,0.013245033,0.013245033,0.016556291,0.01986755,0.003311258,0.006622517,0,0.003311258,0.006622517,0,0.003311258,0.006622517,0.013245033,0.003311258,0,0.003311258,0.003311258,0,0,0,0,0,0.003311258,0,0,0,0,0,0,0.006622517,1917
T06-09,0.119700748,0.06234414,0.117206983,0.117206983,0.087281796,0.109725686,0.052369077,0.012468828,0.014962594,0.027431421,0.039900249,0.002493766,0.054862843,0.012468828,0.002493766,0.004987531,0,0.027431421,0.002493766,0,0,0,0.002493766,0.002493766,0,0.012468828,0.002493766,0.002493766,0.002493766,0.002493766,0,0,0,0,0,0,0,0.002493766,0,0.102244389,1917
T06-11,0.178921569,0.150735294,0.146650327,0.129493464,0.090686275,0.078839869,0.037990196,0.024101307,0.017156863,0.012254902,0.017156863,0.022058824,0.024101307,0.015522876,0.005310458,0.005718954,0.003267974,0.004493464,0.001633987,0.001633987,0,0,0.002042484,0.000816993,0.009803922,0.003267974,0.005718954,0.000816993,0.000816993,0.000408497,0.000408497,0.00122549,0.002042484,0,0.00122549,0,0.000816993,0.000816993,0,0.002042484,1917
T06-12,0.150218341,0.175545852,0.119650655,0.103930131,0.08558952,0.065502183,0.036681223,0.021834061,0.030567686,0.027947598,0.020960699,0.03231441,0.036681223,0.021834061,0.005240175,0.009606987,0.001746725,0.005240175,0.00349345,0.002620087,0.00349345,0.002620087,0.004366812,0.00349345,0,0.010480349,0.002620087,0.001746725,0,0.001746725,0,0.00349345,0.001746725,0,0.000873362,0.00349345,0,0,0,0.002620087,1917
T06-12b,0.17803838,0.118336887,0.119402985,0.126865672,0.087420043,0.091684435,0.037313433,0.025586354,0.034115139,0.013859275,0.018123667,0.020255864,0.025586354,0.02771855,0.008528785,0.007462687,0.003198294,0.002132196,0.002132196,0.004264392,0.001066098,0.00533049,0.002132196,0,0,0.003198294,0.006396588,0.002132196,0,0.002132196,0.001066098,0.006396588,0.003198294,0,0.002132196,0.001066098,0.001066098,0,0,0.010660981,1917
T07-04,0.154639175,0.115206186,0.118814433,0.122164948,0.101546392,0.070876289,0.053865979,0.031443299,0.021134021,0.02628866,0.02371134,0.017525773,0.031185567,0.013402062,0.003608247,0.012371134,0.004896907,0.011597938,0.003092784,0.005412371,0,0.000515464,0.005927835,0.006958763,0.008247423,0.004381443,0.005927835,0.005412371,0.000257732,0.000773196,0.000257732,0.001030928,0.004123711,0.001546392,0.001030928,0.00128866,0,0.001030928,0.000773196,0.007731959,1918
T07-04b,0.208633094,0.107913669,0.100719424,0.117505995,0.098321343,0.071942446,0.040767386,0.014388489,0.045563549,0.004796163,0.009592326,0.023980815,0.033573141,0.038369305,0.002398082,0.002398082,0.002398082,0.019184652,0.004796163,0.002398082,0.002398082,0,0.009592326,0.007194245,0,0.009592326,0.007194245,0,0,0.002398082,0,0,0,0,0,0,0,0,0,0.011990408,1918
