,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS,y
S02-00,0.189042582,0.184431787,0.177108761,0.166531055,0.03878492,0.010306482,0.045294277,0.036615134,0.033631679,0.024138866,0.012476268,0.011933822,0.00081367,0.012476268,0.008950366,0.00081367,0.004882018,0,0.005966911,0.003254679,0.007051804,0.000542446,0.003525902,0.002983455,0.010848929,0.00081367,0,0.001627339,0.000271223,0.001084893,0.001084893,0,0,0.000542446,0.000271223,0,0.000271223,0.00081367,0,0.00081367,1927
S2-00b,0.154929577,0.147345612,0.192849404,0.193932828,0.03900325,0.007583965,0.066088841,0.043336945,0.022751896,0.02383532,0.017334778,0.010834236,0.002166847,0.009750813,0.009750813,0.002166847,0.008667389,0,0.006500542,0.007583965,0.008667389,0.009750813,0,0.003250271,0,0.003250271,0,0,0.002166847,0.001083424,0,0,0.001083424,0.001083424,0.001083424,0,0,0,0,0.002166847,1927
S2-00c,0.152256661,0.161500816,0.193583469,0.167482327,0.052202284,0.023926047,0.068515498,0.034257749,0.019575856,0.014681892,0.01576944,0.008156607,0.001087548,0.013050571,0.009244154,0.003806417,0.003262643,0.001631321,0.008156607,0.006525285,0.009244154,0,0.00435019,0.003262643,0.007612833,0.001087548,0.001087548,0.008156607,0.001631321,0.001087548,0.001087548,0,0.000543774,0.001087548,0,0.000543774,0,0,0,0.000543774,1927
S2-02,0.18839779,0.155248619,0.175138122,0.135359116,0.066574586,0.02320442,0.049171271,0.027624309,0.027624309,0.022099448,0.013812155,0.012983425,0.003867403,0.01160221,0.01160221,0.00441989,0.00441989,0.012154696,0.004143646,0.003314917,0.007734807,0.011325967,0.004143646,0.002486188,0,0.000276243,0.001657459,0.005801105,0.003314917,0.002209945,0.001657459,0,0.000276243,0.001104972,0,0.000828729,0,0.000276243,0,0.004143646,1927
S2-03,0.171492205,0.187082405,0.173719376,0.140311804,0.051224944,0.002227171,0.053452116,0.035634744,0.028953229,0.020044543,0.022271715,0.024498886,0,0.008908686,0.006681514,0.002227171,0.011135857,0,0.004454343,0.008908686,0.006681514,0.006681514,0.004454343,0.008908686,0,0.002227171,0,0.006681514,0,0,0.008908686,0,0,0.002227171,0,0,0,0,0,0,1927
S2-05,0.207815813,0.124810663,0.171766131,0.166919115,0.058164193,0.007270524,0.066949409,0.033020297,0.028173281,0.026961527,0.009996971,0.008482278,0.011814602,0.010602848,0.017267495,0.004847016,0.004544078,0.000605877,0.004847016,0.003938201,0.000908816,0,0.003332324,0,0.008785217,0,0.000302939,0.006361709,0.000302939,0.00212057,0.00212057,0.000605877,0.000302939,0,0.001514693,0,0,0,0,0.004544078,1927
S2-06,0.238372093,0.162790698,0.174418605,0.191860465,0.031976744,0.005813953,0.043604651,0.046511628,0.020348837,0.00872093,0.00872093,0.002906977,0,0.005813953,0.002906977,0.005813953,0.00872093,0,0,0.005813953,0.00872093,0.01744186,0,0,0,0.002906977,0,0.002906977,0,0,0,0,0,0,0,0.002906977,0,0,0,0,1927
S2-07,0.227344159,0.165531692,0.202200105,0.157674175,0.037192247,0.012048193,0.039287585,0.036144578,0.014143531,0.017810372,0.016238869,0.014667365,0.001047669,0.006286014,0.010476689,0.001047669,0.005762179,0.001047669,0.004190676,0.002095338,0.007333683,0,0.002095338,0.006809848,0.005238345,0.001571503,0.001047669,0.001571503,0,0.000523834,0.001047669,0,0,0.000523834,0,0,0,0,0,0,1927
S2-08,0.19816273,0.156167979,0.174540682,0.192913386,0.040682415,0.014435696,0.051181102,0.036745407,0.026246719,0.014435696,0.011811024,0.007874016,0,0.00656168,0.003937008,0.005249344,0.009186352,0,0.00656168,0.003937008,0.009186352,0.007874016,0.003937008,0.001312336,0,0.001312336,0.001312336,0.009186352,0.001312336,0,0,0,0,0.001312336,0,0.001312336,0,0,0,0.001312336,1927
S2-08b,0.230387737,0.142019838,0.208746619,0.170874662,0.040577096,0.000450857,0.060414788,0.029756537,0.004959423,0.011271416,0.013074842,0.00270514,0.003155996,0.006311993,0.017132552,0.004508566,0.007664563,0,0.004508566,0.009918846,0.002254283,0,0.00270514,0.003155996,0.011271416,0.001803427,0.00135257,0.000450857,0,0.003606853,0,0.000450857,0.000450857,0.00135257,0,0.000450857,0,0.000901713,0,0.00135257,1927
S2-11,0.20894239,0.145313844,0.20894239,0.1711092,0.048151333,0.000859845,0.068787618,0.051590714,0.00171969,0.016337059,0.008598452,0.00171969,0.00171969,0.003439381,0.015477214,0.00171969,0.010318143,0.00171969,0.000859845,0.008598452,0,0,0.000859845,0.006878762,0.007738607,0.000859845,0,0.002579536,0,0.002579536,0.00171969,0,0,0.000859845,0,0,0,0,0,0,1927
