"Term1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"なりました。",0,5,0,0,0,0,0,0,0,0,1,0,0,0,3,10,3,0,0,0
"ひどい",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,2,8,0,0
"ふと",1,0,0,1,1,1,1,0,0,0,1,2,0,1,0,4,3,2,3,1
"ほど、",2,0,0,0,0,1,1,3,0,0,0,0,0,0,1,7,0,6,0,1
"ものが、",1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,3,0,0
"家へ",0,0,0,1,0,0,0,1,0,0,4,1,0,1,4,2,1,1,0,6
"彼は、",0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,2,5,5,0,1
"私が、",0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,10,1,0,1
"自分には",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0
"言った。",0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,14,0,0
"いう",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,8,0,1
"うちに、",0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,5,2,6,0,1
"かの",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6,7,0
"それでも",0,2,0,0,0,1,0,1,0,0,3,0,1,0,0,4,0,4,4,1
"ひそかに",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,10,1,0
"中の",1,5,1,0,1,0,0,0,0,1,1,0,0,0,0,4,0,4,2,1
"云",0,13,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"何だか",0,1,0,1,0,0,0,0,0,1,1,0,0,0,3,3,0,9,1,1
"内供は",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"勿論、",1,0,0,1,1,4,0,6,0,0,0,0,0,0,1,1,4,2,0,0
"夜、",0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,7,0,9,1,0
"学校の",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0
"所が",4,12,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
"白い",0,5,0,0,3,0,1,1,0,0,0,0,0,0,2,2,6,0,1,0
"藤野先生の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"行って、",0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,5,2,8,0,2
"長い",5,2,0,1,0,0,1,4,0,0,0,2,0,1,0,3,0,0,2,0
"あります。",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,5,2,0
"いま、",0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,5,8,1,0
"ございません。",0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"さすがに",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,10,0,1
"たった",0,0,0,0,0,0,1,0,0,2,1,0,0,3,2,8,2,1,0,0
"ちっとも",0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,5,2,3,0,2
"つまり、",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,1,0,1
